id_str,from_user,text,Hashtags,Target,time
515106113566802000,spouyllau,Merci à tous ! Fin de #websem14, #websem14,,25/09/2014 12:50:42
515084754199515000,we_aRchieve,RT @spouyllau: Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,@spouyllau,25/09/2014 11:25:49
515078800615702000,seeksanusername,@lespetitescases Pr compléter sur les topics des papiers acceptés au #DH2014 http://t.co/PHVCxMFvT6 #websem14, #DH2014 #websem14,@lespetitescases,25/09/2014 11:02:10
515077884814557000,seeksanusername,"Voilà, #websem14 est terminé ! Merci pr les nombreux échanges @Huma_Num (Et pardon à mes followers que j'ai floodé ;-))", #websem14 ,@Huma_Num,25/09/2014 10:58:32
515076278073176000,Pepine,RT @seeksanusername: Ouvrir les données (en les maitrisant) pour ne pas les perdre / détacher les données des applications #websem14, #websem14,@seeksanusername,25/09/2014 10:52:09
515075875365454000,seeksanusername,Ouvrir les données (en les maitrisant) pour ne pas les perdre / détacher les données des applications #websem14, #websem14,,25/09/2014 10:50:32
515073156944781000,lespetitescases,Liste des articles en rapport avec le Web sémantique à DH2013 http://t.co/DkJFYTVQC2 #websem14, #websem14,,25/09/2014 10:39:44
515070762932130000,Backbook,"RT @seeksanusername: Avant de reprendre le #jour3, retour sur le #jour2 en #tweets (- de volume mais + de comptes mentionnées) #websem14 ht…", #jour3 #jour2 #tweets #websem14 ,@seeksanusername,25/09/2014 10:30:14
515070762932130000,Backbook,"RT @seeksanusername: Avant de reprendre le #jour3, retour sur le #jour2 en #tweets (- de volume mais + de comptes mentionnées) #websem14 ht…", #jour3 #jour2 #tweets #websem14 ,@seeksanusername,25/09/2014 10:30:14
515066698962338000,nadege_gohier,RT @spouyllau: Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,@spouyllau,25/09/2014 10:14:05
515066438252782000,ocontat,RT @emma_morlock: #websem14 RT @Le_GFII: Web sémantique et modèle de données  autour du projet #data de  @ActuBnF http://t.co/F89cu2E4FT, #websem14 #data ,@emma_morlock @Le_GFII @ActuBnF,25/09/2014 10:13:03
515064443253043000,seeksanusername,"Le @smithsonian utilise l'ontologie #PROV pour garder une trace des réalignements effectués, provenance #websem14", #PROV #websem14,@smithsonian,25/09/2014 10:05:07
515063743022387000,seeksanusername,On s'aligne avec ce qu'il y a (à propos du réal. #Smithsonian avec le #NYTimes) ! #pragmatisme de @lespetitescases #websem14, #Smithsonian #NYTimes #pragmatisme #websem14,@lespetitescases,25/09/2014 10:02:20
515062766894592000,seeksanusername,"Lors du mapping, on est confronté aux #données #EtCaFaitSouventMal #websem14", #données #EtCaFaitSouventMal #websem14,,25/09/2014 09:58:27
515061491998134000,mingarao,"RT @seeksanusername: Pour #Karma, voilà le #github de l'application (pr OpenRefine: http://t.co/QElzhmlgng)  #websem14 http://t.co/T6YRCApW…", #Karma #github #websem14 ,@seeksanusername,25/09/2014 09:53:23
515060697685058000,seeksanusername,"Ac les #LAMs, on change d'échelle dans la modélisation: 407 classes, 105 #dataproperties, 229 #objectproperties : pb pr échanger #websem14", #LAMs #dataproperties #objectproperties #websem14,,25/09/2014 09:50:14
515059798824714000,spouyllau,"RT @seeksanusername: Pour #Karma, voilà le #github de l'application (pr OpenRefine: http://t.co/QElzhmlgng)  #websem14 http://t.co/T6YRCApW…", #Karma #github #websem14 ,@seeksanusername,25/09/2014 09:46:40
515059675554120000,spouyllau,Le SAAM :  41000 objets dans le LOD ? http://t.co/DkISOy78W3 #websem14, #websem14,,25/09/2014 09:46:10
515058979404526000,seeksanusername,"Pour #Karma, voilà le #github de l'application (pr OpenRefine: http://t.co/QElzhmlgng)  #websem14 http://t.co/T6YRCApWXX", #Karma #github #websem14 ,,25/09/2014 09:43:24
515058012273533000,Pepine,#BigUp à @mingarao qui parvient à tweeter la présentation de @jlminel malgré sa densité #websem14,#BigUp #websem14,@mingarao @jlminel,25/09/2014 09:39:34
515056832898138000,mingarao,#websem14 Nan mais là Twitter me bouffe un twitt sur deux #etCaMEnerve Dommage car conférence @jlminel très dense suscite débats importants,#websem14 #etCaMEnerve ,@jlminel,25/09/2014 09:34:52
515054582809256000,mingarao,#websem14 @jlminel et @lespetitescases pas d'accord sur l'enjeu #utilisabilité / #simplicité (apparemment...),#websem14 #utilisabilité #simplicité ,@jlminel @lespetitescases,25/09/2014 09:25:56
515054259260645000,mingarao,#websem14 selon les champs les risques ne sont pas les mêmes : #balkanisation ou au contraire #hégémonie @jlminel,#websem14 #balkanisation #hégémonie ,@jlminel,25/09/2014 09:24:39
515054259260645000,mingarao,#websem14 selon les champs les risques ne sont pas les mêmes : #balkanisation ou au contraire #hégémonie @jlminel,#websem14 #balkanisation #hégémonie ,@jlminel,25/09/2014 09:24:39
515052623079408000,neuromancien,"ça va être l'heure du départ pour moi, je quitte Fréjus mais je ne parle pas encore couramment le sparql #websem14", #websem14,,25/09/2014 09:18:09
515049593982435000,spouyllau,"Le projet POWLA : ontologie [très] générique pour la linguistique : 50 classes, 29 propriétés #websem14", #websem14,,25/09/2014 09:06:07
515049527578214000,seeksanusername,"""Le #RDF, c'est le #GRAAL pour les linguistes: pouvoir parcourir un graphe"" #websem14", #RDF #GRAAL #websem14,,25/09/2014 09:05:51
515047350352748000,spouyllau,@jlminel analyse le projet #WordNet : de l’ASCII au websem #websem14, #WordNet #websem14,@jlminel,25/09/2014 08:57:12
